,debate_name,debate_num,n,s
275, L'Europe occidentale est-elle en déclin ?,19,1255, L'information est contrôlée par les puissances financières et politiques
276, La liberté d'expression doit-elle être limitée ?,24,1202, Il ne faut pas confondre discours et actes
277, Pour ou contre le communisme ?,41,2514,La planification ne répond pas aux besoins de la population
278, Dieu existe-t-il ?,0,2020,
279, L'Europe occidentale est-elle en déclin ?,19,2319,Le manque de temps n'est pas une fatalité.
280, Faut-il se faire vacciner ?,16,1924,Lien entre les sels d'aluminium et la myofasciite à macrophages
281, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,943, Les syndicats cherchent à contrôler et si besoin freiner les luttes
282, La religion est-elle compatible avec le marxisme ?,27,2362,On peut être religieux sans perpétuer ces oppressions
283, Faut-il se faire vacciner ?,16,358, Une bonne couverture vaccinale protège aussi les personnes non-vaccinées
284, La liberté d'expression doit-elle être totale ?,25,511, Internet ruine toute tentative de censure
285, Le réchauffement climatique est-il dû à l'activité humaine ?,34,770, Le réchauffement du climat est corroboré par de nombreux indicateurs
286, La liberté d'expression doit-elle être limitée ?,24,899, Les paroles et les images ne sont pas des actes
287, Le réchauffement climatique est-il dû à l'activité humaine ?,34,1823,Le réchauffement climatique est confirmé par de nombreuses simulations numériques
288, Faut-il instaurer un revenu de base ?,9,1611, On peut établir un montant de revenu de base suffisamment faible pour inciter les gens à travailler
289, La liberté d'expression doit-elle être totale ?,25,471, Il faut limiter la liberté d'expression pour lutter contre les propos injurieux
290, Dieu existe-t-il ?,0,2112,
291, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,898, Les ouvriers sont réactionnaires
292, Les hommes doivent-ils rejoindre le combat féministe ?,37,1871,La majorité des hommes dominent leur compagne et freinent leur émancipation
293, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1956,Elle est capable d'entrainer les autres classes derrière elle
294, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1338, La production reste structurée autour de sites ou « écosystèmes » industriels à forte concentration ouvrière
295, Faut-il légaliser le cannabis ?,11,1313, La liberté de consommer du cannabis est la liberté de devenir esclave
296, Faut-il accueillir davantage de migrants ?,3,1028, On augmente le sexisme ambiant en faisant venir ces migrants
297, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1479, Les étudiants ont eu un rôle réactionnaire dans l'histoire
298, Dieu existe-t-il ?,0,2120,
299, Faut-il préserver les Murs à pêches de Montreuil ?,13,93, Il faut préserver les Murs à pêches de Montreuil pour relancer une agriculture urbaine de proximité
300, Dieu existe-t-il ? (nouvelle version),1,1082, Un Dieu à l'image de l'homme est trop humain pour être crédible
301, Dieu existe-t-il ? (nouvelle version),1,951, Les valeurs morales sont relatives à une société donnée
302, Pour ou contre le communisme ?,41,1416, Le communisme a fait 100 millions de morts
303, Le réchauffement climatique est-il dû à l'activité humaine ?,34,2227,Il existe un lobbying des industries pétrolières afin de nier le réchauffemen climatique
304, Faut-il arrêter de manger des animaux ?,4,411, Des personnes végétariennes et végans sont capables d’atrocité
305, La liberté d'expression doit-elle être totale ?,25,1334, La pornographie n'influence pas les comportements
306, Faut-il privatiser ADP ?,14,96, Il faut privatiser ADP car l'État a besoin d’argent
307, Dieu existe-t-il ? (nouvelle version),1,1275, La cause première ne peut pas être une abstraction
308, La liberté d'expression doit-elle être totale ?,25,616, La liberté d'expression doit être totale pour ne pas favoriser l'hypocrisie et l'autocensure
309, Dieu existe-t-il ? (nouvelle version),1,2333,Il faut suivre le principe de vérité de nos sens
310, Faut-il instaurer un revenu de base ?,9,1456, Le revenu de base ne fera pas disparaitre le regard porté sur les prétendus assistés
311, Lénine est-il le précurseur de Staline ?,28,1697, Lénine a ordonné l'humiliation et le viol de femmes bourgeoises
312, Les hommes doivent-ils rejoindre le combat féministe ?,37,2550,La fin du sexisme entraînerait de nouvelles rivalités entre hommes et femmes
313, La gauche doit-elle défendre le port du voile islamique ?,23,2365,On ne peut pas être féministe et défendre le voile
314, Faut-il privatiser ADP ?,14,1402, L’Etat conservera toutes ses activités régaliennes
315, La liberté d'expression doit-elle être totale ?,25,381, Chacun doit accepter d'être choqué dans une société plurielle
316, Dieu existe-t-il ? (nouvelle version),1,1821,"Si le monde était chaotique, il n'y aurait pas de langage pour en parler"
317, Faut-il arrêter de manger des animaux ?,4,52, Arrêter l'élevage de certains animaux les ferait disparaitre
318, La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?,26,635, La méthode Céline Alvarez a des résultats spectaculaires
319, Dieu existe-t-il ? (nouvelle version),1,2181,L'homme est déterminé
320, La liberté d'expression doit-elle être limitée ?,24,621, La liberté d'expression totale est le paravent des populistes et des racistes
321, Faut-il incinérer les déchets ménagers à La Réunion ?,8,427, Diminuer la dépendance aux combustibles fossiles
322, Les footballeurs professionnels sont-ils trop payés ?,36,829, Les footballeurs professionnels sont trop payés par rapport au niveau d'étude et aux responsabilités
323, Faut-il accueillir davantage de migrants ?,3,534, L'Europe n'a pas de responsabilité dans la démographie galopante de l'Afrique
324, Dieu existe-t-il ?,0,2068,
325, La liberté d'expression doit-elle être totale ?,25,319, Limiter la liberté d'expression est dangereux
326, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1750," À la sortie de la Deuxième Guerre mondiale, les syndicats ont pleinement contribué à la reconstruction de l'économie capitaliste française"
327, Lénine est-il le précurseur de Staline ?,28,1622, Parmi les inédits de Lénine retrouvés après la chute de l'URSS on trouve un décret de juillet 1918 intitulé 'Sur l'éradication de l'antisémitisme'
328, Faut-il boycotter Facebook ?,5,71, Facebook s'approprie les données personnelles de ses utilisateurs sans les rémunérer
329, La liberté d'expression doit-elle être limitée ?,24,2467,Il peut être utile de connaitre la vie privée des personnes publiques
330, Faut-il se faire vacciner ?,16,666," La rougeole, les oreillons et la rubéole sont potentiellement éradicables"
331, Dieu existe-t-il ? (nouvelle version),1,1532, Les lois de l'univers se sont constituées peu à peu
332, Faut-il accueillir davantage de migrants ?,3,2130,Les lois dépendent de la volonté des citoyens et doivent être soumises au politique
333, La liberté d'expression doit-elle être limitée ?,24,459, Il faut limiter la liberté d'expression pour lutter contre l'ultraviolence
334, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,812, Les classes intermédiaires tendent à décliner avec le développement du capitalisme
335, Dieu existe-t-il ?,0,2021,
336, L'extrême-gauche doit-elle lutter contre l'islamophobie ?,20,392, Dans la lutte contre l'islamophobie il y a des organisations ennemies de la classe ouvrière
337, Pour ou contre le capitalisme ?,40,191, Le capitalisme détériore les relations humaines
338, Faut-il généraliser le vote électronique ?,7,953, Les votes sur machine à voter peuvent être achetés
339, Faut-il instaurer un revenu de base ?,9,773, Le revenu de base apporte plus de liberté
340, Les religions se rejoignent-elles ?,38,501, Il y a plusieurs Ultimes
341, Les religions se rejoignent-elles ?,38,1057, Prétendre qu'il y a une seule religion vraie est faire preuve d'intolérance
342, Faut-il accueillir davantage de migrants ?,3,1148, Des pays non colonisateurs comme la Suède subissent de fortes migrations
343, Faut-il instaurer un revenu de base ?,9,1757, Le cas des gagnants du jeu « Win for Life » est biaisé au niveau du nombre de personnes étudiées et de leur sélection
344, La gauche doit-elle défendre le port du voile islamique ?,23,1135, De nombreuses femmes voilées réinventent le sens de leur voile
345, La liberté d'expression doit-elle être totale ?,25,1648, Tout peut se dire dans un débat méthodique
346, La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?,26,960, Le travail de l'enseignant est aussi de construire une volonté d'apprendre
347, Une spiritualité rationnelle est-elle possible ?,46,2406,La spiritualité ne dépend ni de la culture ni de la religion
348, La gauche doit-elle défendre le port du voile islamique ?,23,761, Le port du voile islamique n'est pas une question de liberté individuelle mais de libertés collectives
349, Faut-il arrêter de manger des animaux ?,4,524, L'élevage implique moins de cruauté pour les animaux que l'état sauvage
350, Faut-il instaurer un revenu de base ?,9,1652, Une baisse du PIB n'entraine pas forcément de détérioration du bien-être
351, L'Europe occidentale est-elle en déclin ?,19,1858,La majorité parlementaire est au service des désidératas du président de la république/du chef de l'Etat et la justice est accusée d'être instrumentalisée.
352, Pour ou contre le capitalisme ?,40,2140,Le développement capitaliste pousse à la modification du vivant
353, La liberté d'expression doit-elle être totale ?,25,1307, La justice garantit un encadrement raisonnable de la liberté d'expression
354, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1967,La paysannerie est conservatrice
355, Faut-il légaliser le cannabis ?,11,1117, Ce ne sont pas l'alcool et le tabac qui sont dangereux mais leur abus
356, Pour ou contre le capitalisme ?,40,187, Le capitalisme accentue les inégalités
357, Les hommes doivent-ils rejoindre le combat féministe ?,37,2562,Les hommes devraient donner la parole aux femmes plutôt que de parler à leur place
358, Lénine est-il le précurseur de Staline ?,28,2451,"C'est un SR de gauche qui assassina à Moscou avec le soutien des siens l'ambassadeur allemand Von Mirbach le 6 juillet 1918, mettant ainsi en danger la souveraineté de la Russie."
359, La liberté d'expression doit-elle être limitée ?,24,460, Il faut limiter la liberté d'expression pour lutter contre la diffamation et les propos mensongers
360, Faut-il arrêter de manger des animaux ?,4,2266,Il n'est pas préférable pour un individu d'être privé de sa liberté
361, Faut-il supprimer les notes à l'école ?,18,18, Faut-il supprimer les notes à l'école ?
362, La classe ouvrière est-elle la seule classe révolutionnaire ?,21,1727, Les étudiants sont des apprentis travailleurs intellectuels
363, Faut-il arrêter de manger des animaux ?,4,395, Décider de la vie d'êtres qui n'ont rien demandé à personne fait partie de la nature
364, Dieu existe-t-il ? (nouvelle version),1,554, L'univers n'a pas de cause ni de raison d'être
365, Le réchauffement climatique est-il dû à l'activité humaine ?,34,34, Le réchauffement climatique est-il dû à l'activité humaine ?
366, La méthode Céline Alvarez révolutionne-t-elle l'école maternelle ?,26,151, La méthode Céline Alvarez est gourmande en matériel et encadrement
